izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
43511,Donald Trump,75,75,75,75,50,75,75,50,51,10,60,45,40,95,30,Very confident,No,No,Not very strong Republican,Moderate,Somewhat important,09dec2016 11:18:56,09dec2016 11:42:22
25801,Donald Trump,70,90,72,50,10,81,98,40,20,1,41,0,20,99,100,Somewhat confident,No,Yes,Strong Republican,Conservative,Very important,10dec2016 08:06:03,10dec2016 08:22:20
2878,Donald Trump,100,100,100,100,95,100,100,49,65,0,0,100,50,98,65,Very confident,Yes,No,Independent,Moderate,Very important,09dec2016 20:30:15,09dec2016 21:12:52
18630,Donald Trump,61,85,25,54,9,100,91,41,10,1,63,3,6,97,39,Very confident,No,Yes,Strong Republican,Very conservative,Somewhat important,06dec2016 04:40:28,06dec2016 04:51:38
32738,Hillary Clinton,89,49,82,94,77,84,54,99,72,86,19,91,70,70,1,Somewhat confident,Yes,No,Independent,Moderate,Somewhat important,08dec2016 03:47:55,08dec2016 04:23:15
81122,Hillary Clinton,80,50,86,81,81,90,79,100,51,50,1,100,1,91,0,Very confident,No,No,Independent,Moderate,Not at all important,02dec2016 15:16:37,02dec2016 15:35:06
63021,Hillary Clinton,97,57,94,92,90,100,20,99,89,93,6,94,98,49,2,Somewhat confident,No,No,Strong Democrat,Liberal,Not at all important,09dec2016 22:03:13,09dec2016 22:20:15
79762,Donald Trump,52,64,53,71,61,65,65,32,56,4,51,55,54,83,50,Somewhat confident,Yes,No,Not very strong Republican,Moderate,Somewhat important,04dec2016 08:33:04,04dec2016 08:55:22
48146,Donald Trump,51,50,51,51,35,50,77,6,50,0,2,50,14,41,50,Somewhat confident,Yes,No,Lean Republican,Conservative,Not too important,06dec2016 05:26:54,06dec2016 05:38:10
85051,Donald Trump,88,87,99,86,89,87,100,25,22,2,22,91,1,91,13,Somewhat confident,Yes,No,Strong Republican,Conservative,Very important,05dec2016 08:21:55,05dec2016 08:50:14
89104,Hillary Clinton,72,100,67,100,56,100,64,100,54,64,53,90,66,100,58,Very confident,Yes,No,Strong Democrat,Liberal,Not at all important,02dec2016 16:17:36,02dec2016 16:30:47
36613,Hillary Clinton,100,44,89,87,57,77,84,85,51,96,3,84,81,78,0,Somewhat confident,Yes,No,Strong Democrat,Very liberal,Somewhat important,04dec2016 17:40:50,04dec2016 18:46:10
66425,Donald Trump,80,80,80,66,50,84,85,76,80,1,50,96,60,90,31,Not too confident,Yes,Yes,Independent,Moderate,Very important,10dec2016 20:49:27,10dec2016 21:43:07
