izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
85345,Donald Trump,100,100,100,100,50,100,80,1,50,50,26,50,10,90,10,Very confident,No,No,Strong Republican,Conservative,Very important,09dec2016 15:39:15,09dec2016 15:54:59
81069,Gary Johnson,100,100,100,100,100,100,100,26,100,44,20,100,NA,59,NA,Not too confident,NA,No,Lean Republican,Moderate,Not too important,21dec2016 14:50:28,22dec2016 08:04:47
48114,Gary Johnson,60,50,55,75,64,60,15,46,60,61,1,75,80,70,NA,Somewhat confident,Yes,Yes,Not very strong Democrat,Liberal,Not at all important,05dec2016 08:27:21,05dec2016 08:44:10
5672,Hillary Clinton,100,100,99,99,99,98,99,100,98,100,NA,100,100,70,NA,Not too confident,Yes,Yes,Lean Democrat,Very liberal,Not at all important,06dec2016 13:11:12,06dec2016 13:31:03
2703,Hillary Clinton,100,59,100,100,100,100,52,100,88,100,NA,100,100,92,1,Not at all confident,No,Yes,Strong Democrat,Liberal,Not at all important,09dec2016 13:18:50,09dec2016 13:50:45
32221,Hillary Clinton,75,56,80,84,100,90,100,90,30,100,10,1,95,41,4,Not at all confident,No,Yes,Strong Democrat,Not sure,Very important,08dec2016 12:15:49,08dec2016 12:31:49
94551,Hillary Clinton,77,71,53,90,25,79,80,94,78,42,10,81,1,94,NA,Not at all confident,Yes,No,Strong Democrat,Liberal,Not too important,09dec2016 13:20:16,09dec2016 13:43:23
55372,Donald Trump,52,69,53,56,0,61,71,0,0,1,35,6,20,70,21,Somewhat confident,No,Yes,Strong Republican,Very conservative,Somewhat important,04dec2016 08:22:56,04dec2016 08:41:26
98632,Donald Trump,3,46,10,76,6,98,35,0,3,0,26,12,0,88,69,Very confident,Yes,No,Strong Republican,Very conservative,Very important,02dec2016 15:22:09,02dec2016 15:33:02
60607,Hillary Clinton,NA,50,89,86,52,88,NA,90,80,84,0,100,53,76,NA,Not too confident,Yes,No,Strong Democrat,Liberal,Not at all important,12dec2016 18:59:46,12dec2016 19:17:34
76063,Hillary Clinton,85,85,85,85,85,95,81,90,90,85,0,85,95,40,0,Somewhat confident,Yes,Yes,Strong Democrat,Liberal,Very important,05dec2016 18:40:04,05dec2016 19:57:47
8610,Hillary Clinton,100,100,100,100,100,100,24,100,100,100,2,100,100,81,0,Not at all confident,Yes,Yes,Strong Democrat,Very liberal,Not at all important,02dec2016 19:12:52,02dec2016 19:31:33
33185,Donald Trump,72,87,88,77,50,52,51,52,76,0,25,43,24,100,1,Very confident,No,No,Independent,Moderate,Somewhat important,06dec2016 18:14:32,06dec2016 18:30:50
78218,Hillary Clinton,65,51,51,65,70,73,50,80,49,50,25,100,92,91,5,Not too confident,No,No,Lean Democrat,Liberal,Not at all important,03dec2016 17:33:39,03dec2016 17:55:30
68510,Donald Trump,34,60,44,69,10,71,51,20,40,10,21,49,70,79,51,Somewhat confident,Yes,Yes,Independent,Moderate,Not at all important,08dec2016 08:47:13,08dec2016 09:11:06
48912,Hillary Clinton,59,35,52,80,76,50,50,98,52,74,16,70,63,96,3,Very confident,No,No,Lean Democrat,Liberal,Not too important,03dec2016 17:14:25,03dec2016 17:58:25
20007,Hillary Clinton,50,50,50,50,50,50,50,100,50,90,6,50,90,50,0,Very confident,Yes,No,Strong Democrat,Very liberal,Not at all important,04dec2016 18:53:20,04dec2016 19:36:58
65101,Hillary Clinton,93,93,91,91,77,93,78,77,94,10,13,76,88,97,3,Somewhat confident,Yes,Yes,Strong Democrat,Moderate,Very important,12dec2016 20:17:38,12dec2016 20:40:43
60640,Hillary Clinton,90,90,90,90,90,90,90,50,90,0,0,90,75,50,0,Somewhat confident,No,No,Strong Democrat,Liberal,Not at all important,06dec2016 07:26:54,06dec2016 10:23:09
66048,Other,84,63,92,89,90,84,84,89,84,88,11,87,39,90,49,Very confident,Yes,Yes,Independent,Moderate,Somewhat important,09dec2016 16:09:47,10dec2016 05:32:53
90017,Hillary Clinton,99,81,96,91,61,97,57,89,89,90,2,97,78,56,0,Very confident,Yes,Yes,Lean Democrat,Liberal,Somewhat important,09dec2016 12:04:12,09dec2016 12:19:56
81007,Donald Trump,51,50,39,12,2,74,22,32,4,0,47,83,0,80,61,Somewhat confident,Yes,Yes,Lean Republican,Moderate,Not at all important,07dec2016 12:04:19,07dec2016 12:44:11
55371,Donald Trump,99,95,95,66,60,95,99,10,66,0,47,60,35,99,75,Not too confident,Yes,Yes,Lean Republican,Conservative,Very important,09dec2016 14:11:06,09dec2016 14:46:14
75044,Gary Johnson,52,51,50,51,50,50,55,26,50,7,36,51,16,91,6,Very confident,Yes,Yes,Lean Republican,Conservative,Somewhat important,12dec2016 14:39:57,12dec2016 14:55:32
92115,Hillary Clinton,100,100,100,100,70,70,70,100,100,100,31,100,100,50,0,Not too confident,No,No,Not very strong Democrat,Very liberal,Not at all important,12dec2016 22:01:56,12dec2016 22:23:55
7501,Gary Johnson,80,72,70,78,78,79,90,69,66,85,26,52,60,53,52,Not too confident,Yes,No,Independent,Moderate,Somewhat important,06dec2016 16:22:50,06dec2016 16:45:38
